Question,Answer
* Doktora programına başvurabilmek için hangi sınavlar gereklidir?,"Metinde verilen bilgiye göre, doktora programına başvurabilmek için gereken sınavlar şunlardır:

* **ALES:**  Tezli yüksek lisans diploması ile başvuranlar için **ALES** sınavında, başvurduğu programın puan türünde en az 55 puan almak zorunludur. Ancak doktora/sanatta yeterlik/tıpta uzmanlık/diş hekimliğinde uzmanlık/veteriner hekimliğinde uzmanlık/eczacılıkta uzmanlık mezunlarının doktora programlarına başvurularında **ALES** şartı aranmaz. Bu adaylar için üniversite senatoları tarafından mezun olduğu lisansüstü programa girişteki puan türü veya uzmanlık alanı dikkate alınmaksızın, 55’ten düşük 75’ten fazla olmamak üzere bir puan belirlenir ve ilgili programın şartlarında ilan edilir.
* **Lisans Mezunlarının Doktora Programına Başvuruları:** Lisans derecesiyle doktora programına başvuranların lisans mezuniyet not ortalamalarının 4 üzerinden en az 3 veya muadili bir puan olması ve **ALES**'ten başvurduğu programın puan türünde en az 80 puan alması gerekir.
* **Tıp Fakültesi Mezunlarının Doktora Programına Başvuruları:** Temel tıp bilimlerinde doktora programlarına başvurabilmek için tıp fakültesi mezunlarının lisans diplomasına ve 50 puandan az olmamak koşuluyla ilgili senato kararı ile belirlenecek Tıpta Uzmanlık Eğitimi Giriş Sınavından alınmış temel tıp puanına veya **ALES**'in sayısal puan türünde en az 55 puan alması gerekir. Tıp fakültesi mezunu olmayanların ise yüksek lisans diplomasına (diş hekimliği ve veteriner hekimliği mezunlarının ilgili dallar için) sahip olmaları ve **ALES**'ten başvurduğu programın puan türünde en az 55 puan almaları gerekir.

Bunun dışında, üniversite senatolarının belirlediği koşullar dahilinde; 

* **Yabancı Dil Sınavı:**  Doktora programına öğrenci kabulünde, anadilleri dışında Yükseköğretim Kurulu tarafından kabul edilen merkezî yabancı dil sınavları ile eşdeğerliği kabul edilen uluslararası yabancı dil sınavlarından en az 55 puan veya ÖSYM tarafından eşdeğerliği kabul edilen uluslararası yabancı dil sınavlarından bu puan muadili bir puan alınması zorunlu olup, bu asgari puanların girilecek programların özelliklerine göre gerekirse yükseltilmesine üniversite senatoları tarafından karar verilir. 
* **Yazılı Bilimsel Değerlendirme Sınavı ve/veya Mülakat:**  Doktora programına öğrenci kabulünde, **ALES** puanı yanı sıra yazılı olarak yapılacak bilimsel değerlendirme sınavı ve/veya mülakat sonucu ile yüksek lisans derecesiyle başvuranlar için yüksek lisans not ortalaması da değerlendirilebilir. 

**Önemli Not:**  Doktora programına başvuru koşulları ve öğrenci kabulüne dair diğer hususlar ilgili üniversitelerin senatoları tarafından düzenlenen yönetmelikle belirlenir. Başvuru yapmadan önce ilgili üniversitelerin web sitelerinden bu yönetmelikleri incelemenizde fayda var."
* ALES puanı doktora programına kabulde ne kadar ağırlıkla değerlendirilir?,"Metinde ALES puanının %50'den az olmamak koşuluyla değerlendirmeye alınacağı belirtiliyor. Ancak ne kadar ağırlıkla değerlendirileceği senato tarafından belirleniyor. Yani, ALES puanının ağırlığı üniversiteden üniversiteye değişebilir. 

Dolayısıyla, doktora programına başvuracağınız üniversitenin web sitesinde veya ilgili fakülte/enstitü sayfasında, ALES puanının değerlendirilmesinde nasıl bir ağırlık verildiğini kontrol etmeniz gerekir."
* Güzel sanatlar fakülteleri doktora programına öğrenci kabulünde ALES puanı aranır mı?,"Metinde belirtildiğine göre, ""Konservatuvar programları ile güzel sanatlar fakültelerinin sadece özel yetenek sınavı ile öğrenci kabul eden programlarının enstitülerdeki anasanat ve anabilim dallarına öğrenci kabulünde ALES puanı aranmaz."" Ancak üniversite senatosu karar verirse ALES puanı aranabilir.  ALES puanı aranması durumunda taban puanı senato tarafından belirlenir. 

Yani, **genel olarak güzel sanatlar fakülteleri doktora programına öğrenci kabulünde ALES puanı aranmaz**. Ancak, bu konuda son kararı üniversite senatosu verir."
* Doktora programına başvuru için yabancı dil şartı var mıdır?,"Metinde, doktora programına başvuru için yabancı dil şartı var.  

Madde 16 (5) 'e göre, doktora programına öğrenci kabulünde anadilleri dışında Yükseköğretim Kurulu tarafından kabul edilen merkezî yabancı dil sınavları ile eşdeğerliği kabul edilen uluslararası yabancı dil sınavlarından en az 55 puan veya ÖSYM tarafından eşdeğerliği kabul edilen uluslararası yabancı dil sınavlarından bu puan muadili bir puan alınması zorunlu.

Bu madde, doktora programına kabul için  yabancı dil bilgisinin önemli olduğunu belirtir ve minimum puan şartını açıklar. Ayrıca, üniversite senatolarının programların özelliklerine göre bu minimum puanları yükseltebileceği de belirtilmiş."
* Temel tıp bilimlerinde doktora programına başvurabilmek için hangi şartlar aranır?,"Türk eğitim sisteminde temel tıp bilimlerinde doktora programına başvurabilmek için iki farklı yol mevcut:

**1. Tıp Fakültesi Mezunları İçin:**

* **Lisans Diploması:** Tıp fakültesi mezunlarının öncelikle lisans diplomasına sahip olmaları gerekir.
* **Tıpta Uzmanlık Eğitimi Giriş Sınavı (TUS):**  TUS'tan alınmış temel tıp puanı, senato tarafından belirlenen 50 puanın altında olmamalıdır.
* **ALES Sayısal Puanı:**  TUS puanı yerine, senato tarafından belirlenen 55 puanın altında olmamak koşuluyla ALES'in sayısal puan türünden de yararlanılabilir.

**2. Tıp Fakültesi Mezunu Olmayanlar İçin:**

* **Yüksek Lisans Diploması:**  Bu durumda, ilgili alanda yüksek lisans diplomasına sahip olmak zorunludur.
* **ALES Sayısal Puanı:**  Senato tarafından belirlenen 55 puanın altında olmamak koşuluyla ALES'in sayısal puan türünden bir puan elde edilmesi gerekir.

Ek olarak, doktora programına kabulde ALES puanı dışında, yazılı bilimsel değerlendirme sınavı ve/veya mülakat da değerlendirme kriterleri arasında yer alabilir. Yüksek lisans derecesiyle başvuranlar için yüksek lisans not ortalaması da dikkate alınabilir. Bu hususlar, üniversite senatosu tarafından düzenlenen yönetmelikle belirlenir."
"1. Metinde bahsedilen ""yabancı dil sınavı""nın Türk eğitim sistemindeki rolü nedir?","Metinde bahsedilen ""yabancı dil sınavı"", Türk eğitim sisteminde yüksek lisans ve doktora programlarına kabul için gerekli bir şart olarak belirtilmiştir. Özellikle temel tıp bilimleri alanındaki doktora programları için bu sınav önemlidir. 

Yabancı dil sınavının temel amacı, öğrencilerin yabancı dil becerilerini ölçerek, akademik çalışmalarını, uluslararası bilimsel kaynakları takip etmelerini ve diğer araştırmacılarla iletişim kurmalarını desteklemektir. 

Türk eğitim sistemi, yabancı dil bilgisini akademik başarı için önemli bir unsur olarak görmekte ve bu nedenle yükseköğretim düzeyinde bu kriteri öne çıkarmaktadır."
"2. Metinde geçen ""ALES"" sınavı hangi alanda eğitim gören öğrenciler için geçerlidir?","Metinde geçen ""ALES"" sınavı, **temel tıp bilimlerinde doktora programına başvurmak isteyen** öğrenciler için geçerlidir.  

Metin, temel tıp bilimlerinde doktora yapmak isteyen öğrencilerin ALES'in sayısal puan türünde en az 55 puan almaları gerektiğini belirtiyor. 

**Türk eğitim sistemiyle ilgili bilgi:**

ALES (Akademik Personel ve Lisansüstü Eğitimi Giriş Sınavı), Türkiye'de lisansüstü eğitimi (yüksek lisans ve doktora) almak isteyen adayların girmesi gereken bir sınavdır. ALES, sayısal, sözel ve eşit ağırlık olmak üzere üç puan türünden oluşur. Hangi puan türünün hangi bölüm için gerekli olduğu ilgili üniversite ve bölümlerin duyurularında belirtilir."
"3. Temel tıp bilimlerinde doktora yapmak isteyen bir öğrencinin ""ALES"" sınavından hangi puanı alması gerekir?","Metinde belirtildiği üzere, temel tıp bilimlerinde doktora yapmak isteyen bir öğrencinin ALES'in **sayısal puan türünde 55 puandan az olmamak koşuluyla** senato kararı ile belirlenecek bir puana sahip olması gerekir. Yani, öğrencinin tam olarak alması gereken puan üniversite senatosu tarafından belirleniyor. 55 puan sadece bir asgari sınır olarak belirtiliyor."
"4. Metinde bahsedilen ""temel tıp puanı"" nasıl hesaplanır?","Metinde bahsedilen ""temel tıp puanı"", Tıpta Uzmanlık Eğitimi Giriş Sınavında (TUS) elde edilen iki puanın birleşimiyle hesaplanır:

1. **Temel Tıp Bilimleri Testi -1 (TBT-1):** Bu testte elde edilen standart puanın 0,7 ile çarpılması gerekir.
2. **Klinik Tıp Bilimleri Testi:** Bu testte elde edilen standart puanın 0,3 ile çarpılması gerekir.

Bu iki çarpımın toplamı, ""temel tıp puanı""nı oluşturur. Örneğin, bir öğrencinin TBT-1'den 60 standart puan ve Klinik Tıp Bilimleri Testinden 70 standart puan aldığını varsayalım. Temel tıp puanı şu şekilde hesaplanır:

* TBT-1 puanı x 0,7 = 60 x 0,7 = 42
* Klinik Tıp Bilimleri Testi puanı x 0,3 = 70 x 0,3 = 21
* Temel tıp puanı = 42 + 21 = 63

Bu hesaplama, Tıpta Uzmanlık Eğitimi Giriş Sınavı'nın temel tıp bilimleri ve klinik tıp bilimleri alanlarına eşit ağırlık verme amacıyla yapılır. Temel tıp puanı, temel tıp bilimlerinde doktora programına kabul için önemli bir kriterdir."
5. Doktora programına kabul edilen bir öğrencinin tez danışmanı ne zaman atanmalıdır?,"Sorunuza göre, Türk eğitim sisteminde doktora programına kabul edilen bir öğrencinin tez danışmanı, **en geç ikinci yarıyılın sonuna kadar** atanmalıdır. 

Bu bilgi metnin MADDE 18'inde belirtilmiştir. Ancak, tez danışmanının öğrencinin programı içinde ne zaman atanacağı senato tarafından kabul edilen yönetmelikle belirtilir."
6. Tez danışmanı olmak için gerekli olan nitelikler nelerdir?,"Sorunuzun cevabı metinde açıkça belirtilmiş. 18. maddeye göre tez danışmanı, senatonun belirleyeceği niteliklere sahip öğretim üyeleri arasından seçiliyor. Metin ayrıca  2547 sayılı Kanunun ek 46'ncı maddesi kapsamında kısmi zamanlı olarak görevlendirilen en az doktora derecesine sahip araştırmacıların da tez danışmanı olarak seçilebileceğini, ancak bunun için öğrencinin talebi, ilgili araştırmacının yazılı muvafakati ve enstitü yönetim kurulunun kararının şart olduğunu söylüyor.

Bu nedenle, Türk eğitim sistemi bağlamında, tez danışmanı olabilmek için şu niteliklere sahip olmak gerekir:

* **Öğretim üyesi olmak**: Bu, üniversitelerde ders verme, araştırma yapma ve öğrenci yetiştirme yetkisine sahip olmak anlamına gelir. Öğretim üyesi olmak için genellikle doktora derecesi gereklidir.
* **Senatonun belirlediği niteliklere sahip olmak**: Bu nitelikler üniversiteden üniversiteye değişebilir ancak genellikle belirli bir alanda uzmanlık, araştırma deneyimi, yayınlar ve akademik başarıyı içerir.
* **2547 sayılı Kanunun ek 46'ncı maddesi kapsamında kısmi zamanlı olarak görevlendirilen araştırmacılar için**: En az doktora derecesine sahip olmak, öğrencinin talebi, yazılı muvafakati ve enstitü yönetim kurulunun kararı şarttır.

Ek olarak, metin diş hekimliği, eczacılık, tıp ve veteriner fakülteleri anabilim dalları dışında doktora programlarında öğretim üyelerinin tez yönetebilmesi için, başarıyla tamamlanmış en az bir yüksek lisans tezi yönetmiş olması gerektiğini belirtiyor. 

Bu bilgiler ışığında, tez danışmanı olabilmek için, belirli bir alanda uzmanlaşmış, akademik olarak başarılı ve araştırma deneyimi olan bir öğretim üyesi olmak gerekir."
7. Yeterlik sınavı hangi amaçla yapılır?,"Yeterlik sınavı, Türk eğitim sisteminde doktora programına devam eden öğrencilerin, alanlarındaki temel konulara ve kavramlara hakimiyetlerini ve bilimsel araştırma yeteneklerini ölçmek amacıyla yapılır. Bu sınav, öğrencinin doktora tez çalışması için gerekli temel bilgi ve becerilere sahip olup olmadığını belirlemek için önemli bir aşamadır."
8. Yeterlik sınavına hangi öğrenci ne zaman girmek zorundadır?,"Bu metin, Türkiye'deki doktora programlarına kabul koşullarını ve doktora sürecini açıklayan bir yönetmeliğin bir parçası. Bu metindeki 19. madde, doktora öğrencileri için zorunlu olan **yeterlik sınavını** ele alıyor.  

**8. Yeterlik sınavına hangi öğrenci ne zaman girmek zorundadır?**

Yönetmeliğe göre:

* **Yüksek lisans derecesi ile kabul edilen öğrenci**, **en geç beşinci yarıyılın sonuna kadar** yeterlik sınavına girmek zorundadır.
* **Lisans derecesi ile kabul edilmiş olan öğrenci** ise **en geç yedinci yarıyılın sonuna kadar** yeterlik sınavına girmek zorundadır.

Yani, doktora programına hangi şekilde kabul edilmiş olursa olsun, her öğrencinin bu sınavı geçmesi zorunludur. Ancak sınavı geçmek için belirli bir süreleri vardır ve bu süre öğrencinin programa giriş derecesine bağlıdır."
9. Yeterlik sınavı nasıl yapılır ve kimler tarafından değerlendirilir?,"Yeterlik sınavı, Türkiye'deki doktora programlarında öğrencilerin doktora çalışmalarına devam etme yeterliliğine sahip olup olmadıklarını değerlendirmek için uygulanan bir sınavdır. Bu sınav, derslerini ve seminerlerini tamamlayan öğrencilere uygulanır ve alanlarındaki temel konular ve kavramlar ile doktora çalışmasıyla ilgili bilimsel araştırma derinliğine sahip olup olmadıklarını ölçer.

Yeterlik sınavı genellikle iki bölüm halinde yapılır:

* **Yazılı Sınav:** Bu sınav, öğrencinin alanındaki temel bilgileri ve kavramları ne kadar iyi anladığını ölçer.
* **Sözlü Sınav:** Bu sınav, öğrencinin alanındaki bir konuyu derinlemesine analiz etme, araştırma bulgularını yorumlama ve kendi düşüncelerini ifade etme becerilerini değerlendirir.

Yeterlik sınavı, enstitü anabilim/anasanat dalı başkanlığı tarafından önerilen ve enstitü yönetim kurulu tarafından onaylanan **beş kişilik doktora yeterlik komitesi** tarafından düzenlenir ve yürütülür. Komite, farklı alanlardaki sınavları hazırlamak, uygulamak ve değerlendirmek amacıyla **sınav jürileri** kurar. 

Sınav jürisi **en az ikisi kendi yükseköğretim kurumu dışından olmak üzere, danışman dahil beş öğretim üyesinden oluşur.** Danışmanın oy hakkı olup olmadığı hususunda ilgili yönetim kurulu karar verir. Danışmanın oy hakkı olmaması durumunda jüri altı öğretim üyesinden oluşur.

Yeterlik sınavı toplantıları **öğretim elemanları, lisansüstü öğrenciler ve alanın uzmanlarından oluşan dinleyicilerin katılımına açık olarak yapılır.**

Sınavların ağırlıkları ile notlarının hesaplanmasında yükseköğretim kurumunun yönetmeliklerine göre, öğrencinin yeterlik sınavını geçmesi, doktora programına devam etmesi için olmazsa olmaz bir koşuldur."
"10. Metinde geçen ""azami tamamlama süresi"" ne anlama gelir ve doktora programında ne kadar süredir?","Metinde geçen ""azami tamamlama süresi"", bir doktora programının en fazla ne kadar sürede tamamlanabileceğini belirten bir zaman dilimi ifade eder. 

Türk eğitim sistemi içinde, doktora programının azami tamamlama süresi, öğrencinin daha önceki eğitim seviyesine göre değişiklik gösterir:

* **Tezli Yüksek Lisans Derecesi ile kabul edilenler için:**  Doktora programının azami tamamlama süresi **12 yarıyıl**dır.
* **Lisans Derecesi ile kabul edilenler için:** Doktora programının azami tamamlama süresi **14 yarıyıl**dır. 

Yani, bir öğrenci doktora programına tezli yüksek lisans derecesiyle başladıysa, en fazla 12 yarıyıl (6 yıl) içerisinde programı tamamlamak zorundadır. Lisans derecesiyle başlamışsa, bu süre 14 yarıyıl (7 yıl) olur."
11. Doktora programını tamamlayamayan öğrencilere hangi diploma verilebilir? ,"Metinde belirtildiği üzere, doktora programını tamamlayamayan öğrencilere, **tezsiz yüksek lisans diploması** verilebilir. Ancak bu durumda öğrencinin:

* Doktora programına lisans derecesiyle başvurmuş olması,
* Kredili derslerini ve/veya azami süresi içinde tez çalışmasını tamamlayamamış olması,
* Doktora tezinde başarılı olamaması,
* Tezsiz yüksek lisans için gerekli kredi yükü, proje ve benzeri diğer şartları yerine getirmiş olması gerekmektedir.

Yani, doktora programını yarıda bırakan öğrenciler, tezsiz yüksek lisans diploması için başvuruda bulunabilirler, ancak bu diplomalarının verilmesi için belirli şartları yerine getirmeleri gerekir."
"12. Metinde bahsedilen ""enstitü yönetim kurulu""nun rolü nedir?","Metinde bahsedilen ""enstitü yönetim kurulu"", Türk yükseköğretim sisteminde, özellikle doktora eğitimi alanında önemli bir role sahiptir.  İşte bu kurulun başlıca görevleri:

* **Tez Danışmanı Onayı:** Bir öğrenci için, kendi üniversite kadrosunda bulunan bir tez danışmanı ve danışmanla öğrencinin birlikte belirleyeceği tez konusu ile tez başlığını onaylar.
* **Yeterlik Sınavı Komitesi Onayı:** Enstitü anabilim/anasanat dalı başkanlığı tarafından önerilen ve doktora yeterlik komitesini onaylar. Bu komite, farklı alanlardaki sınavları hazırlamak, uygulamak ve değerlendirmek amacıyla sınav jürileri kurar.
* **Yeterlik Sınavı Jürisi Onayı:** Danışmanın oy hakkı olup olmadığı hususunda karar verir. 
* **Danışman Seçimi:** Üniversite kadrosu dışından, doktora derecesine sahip kişileri ikinci tez danışmanı olarak seçebilir. Bu durum, tez çalışmasının niteliğinin birden fazla tez danışmanı gerektirdiği durumlarda geçerlidir.
* **Öğretim Üyesi Danışman Seçimi:** Yükseköğretim kurumunda belirlenen niteliklere sahip öğretim üyesi bulunmaması halinde, üniversite senatosunun belirlediği ilkeler çerçevesinde başka bir yükseköğretim kurumundan öğretim üyesi danışman seçebilir.
* **Tezsiz Yüksek Lisans Diploması Onayı:** Lisans derecesi ile doktora programına başvurmuş öğrencilerden, kredili derslerini ve/veya azami süresi içinde tez çalışmasını tamamlayamayanlara, doktora tezinde başarılı olamayanlara, talepleri halinde tezsiz yüksek lisans diploması verir. 

Kısacası, enstitü yönetim kurulu, doktora programının yürütülmesi ve öğrencilerin eğitimlerinin düzenli ilerlemesi konusunda önemli kararlar alan bir yapıdır."
13. Doktora tezinde başarılı olamayan bir öğrenciye hangi haklar tanınır?,"Sorunuzun cevabını verebilmek için ilgili kanun maddesinden bazı bölümleri alıntılayacağım: 

**(4) Lisans derecesi ile doktora programına başvurmuş öğrencilerden, kredili derslerini ve/veya azami süresi içinde tez çalışmasını tamamlayamayanlara, doktora tezinde başarılı olamayanlara tezsiz yüksek lisans için gerekli kredi yükü, proje ve benzeri diğer şartları yerine getirmiş olmaları kaydıyla talepleri halinde tezsiz yüksek lisans diploması verilir.**

Yukarıdaki paragrafta belirtildiği üzere, Türk eğitim sisteminde doktora tezinde başarılı olamayan bir öğrenciye **tezsiz yüksek lisans diploması** verilmesi hakkı tanınır. Ancak bu diploma için belirli şartları yerine getirmesi gerekir. Bunlar:

* **Kredili dersleri ve/veya azami süresi içinde tez çalışmasını tamamlayamama**: Yani öğrenci doktora programındaki dersleri tamamlamış olmalı ve doktora tezinin tamamlanması için belirlenen süre aşılmış olmalıdır. 
* **Tezsiz yüksek lisans için gerekli kredi yükü, proje ve benzeri diğer şartları yerine getirmiş olma**: Öğrencinin tezsiz yüksek lisans programına geçiş için belirlenen kredi yükünü tamamlamış olması ve diğer gerekli şartları yerine getirmiş olması gerekir. 

Bu şartları yerine getiren öğrenci, tezsiz yüksek lisans diploması alma hakkına sahip olur. 

**Önemli Not:** Doktora tezinde başarısız olmak, öğrencinin yükseköğretim kurumu ile ilişiğinin kesilmesi anlamına gelmez. Yukarıda belirtilen şartları yerine getirdiği takdirde, tezsiz yüksek lisans diplomasını alarak yükseköğretim yolculuğuna devam edebilir."
"14.  ""Üniversite senatosu""  Türk eğitim sisteminde hangi kararları verir?","Sorunuzun cevabını bulabilmek için metindeki bazı önemli noktalara odaklanmamız gerekiyor:

* **""Üniversite senatosu""**, metinde belirtilen bazı karar alma süreçlerinde yer alıyor. 
* **Senatonun görevleri** arasında,  yüksek lisans ve doktora programına giriş şartlarını belirleme, doktora tez danışmanlarının niteliklerini belirleme, doktora programı süresi ve aşamaları gibi önemli hususları düzenleme gibi yetkiler var.

**Bu bilgiler ışığında, ""Üniversite senatosu"" Türk eğitim sisteminde şu kararları verir diyebiliriz:**

* **Yükseköğretim kurumunun genel işleyişini düzenler:**  Yükseköğretim kurumunun eğitim-öğretim, araştırma, yayın ve diğer faaliyetlerinin genel politikalarını belirler.
* **Öğretim programları ve ders planlarını onaylar:** Üniversitede verilecek derslerin içeriği, müfredatları ve öğrenci değerlendirme yöntemlerini belirler.
* **Öğrenci kabul şartlarını ve sınavlarını düzenler:** Lisans, yüksek lisans ve doktora programlarına öğrenci kabulü için gerekli şartları belirler ve sınavlar düzenlenir.
* **Akademik kadro atamaları ve terfileri konusunda karar verir:** Öğretim üyelerinin atamaları, terfileri ve görevlendirilmeleri konusunda kararlar verir.
* **Üniversite bütçesini onaylar ve yönetir:** Üniversite bütçesinin nasıl kullanılacağı konusunda kararlar verir.
* **Yükseköğretim kurumunun iç işleyişini düzenler:** Yükseköğretim kurumunun yönetim, organizasyon, disiplin ve diğer iç işleyişine dair yönetmelikler çıkarır.
* **Yüksek lisans ve doktora programı için özel şartlar belirler:**  Metnin belirttiği gibi, temel tıp bilimleri gibi bazı alanlar için özel giriş şartları, ALES puanı ve temel tıp puanı gibi konularda karar verir.
* **Tez danışmanı atanması ve tezin kabulü konusunda karar verir:** Doktora programına giren öğrencilerin tez danışmanının niteliklerini belirler ve tezin kabulü için gerekli şartları belirler.

Kısacası, ""Üniversite senatosu"" Türk eğitim sisteminde üniversitelerin en üst karar alma organıdır. Üniversitelerin genel işleyişini düzenlemek, akademik faaliyetleri yönetmek ve öğrenci eğitimini denetlemek gibi çok önemli görevleri vardır."
"15.  Metin, doktora programları için  yabancı dil bilgisine ne kadar önem veriyor?","Metin, doktora programları için yabancı dil bilgisine oldukça önem veriyor. Özellikle temel tıp bilimleri alanında doktora yapmak isteyenler için yabancı dil bilgisi olmazsa olmaz olarak görülüyor.

Metin'de bahsedilenlere göre:

* Doktora programlarına kabul için **Yükseköğretim Kurulu tarafından kabul edilen merkezi yabancı dil sınavları ile eşdeğerliği kabul edilen uluslararası yabancı dil sınavlarından en az 55 puan** alınması gerekiyor.
* Bu puan, **girilecek programın özelliklerine göre üniversite senatoları tarafından yükseltilebiliyor.** 
* Yani, doktora programları için yabancı dil bilgisinin önemi giderek artıyor ve programların zorluk seviyesine göre daha yüksek yabancı dil puanı istenebiliyor.

Bu durum, Türk eğitim sisteminin globalleşen dünyaya uyum sağlama çabası ve bilimsel araştırma ve yayınların ağırlıklı olarak İngilizce dilinde yapılması gerçeğiyle bağlantılı.

Yabancı dil bilgisinin doktora programlarına kabul için önemli olması, öğrencilerin yabancı dil eğitimine gereken özeni göstermesini ve akademik çalışmalarını desteklemek için gereken yabancı dil seviyesine ulaşmasını gerekli kılıyor."
- Doktora yeterlik sınavında başarısız olan bir öğrenci hangi bölüm/bölümlerden tekrar sınava alınır?,"Metindeki bilgiye göre, doktora yeterlik sınavında başarısız olan öğrenci, başarısız olduğu bölüm/bölümlerden bir sonraki yarıyılda tekrar sınava alınır. Yani, hangi bölümde veya bölümlerde başarısız olmuşsa, o bölüm/bölümlerden tekrar sınavını verir."
"- Doktora yeterlik sınavı jürisi, yeterlik sınavını başaran bir öğrenci için ne zaman bir tez izleme komitesi oluşturur?","Türk eğitim sisteminde doktora yeterlik sınavını başarıyla tamamlayan bir öğrenci için **tez izleme komitesi**, **enstitü anabilim/anasanat dalı başkanlığının önerisi ve enstitü yönetim kurulu onayı ile bir ay içinde** oluşturulur.  Bu, ilgili yönergenin 20. maddesinde belirtilmiştir."
- Doktora yeterlik sınavını başarı ile tamamlayan öğrenci tez önerisini ne kadar süre içinde savunur?,"Metinde belirtildiği üzere, doktora yeterlik sınavını başarıyla tamamlayan bir öğrenci **en geç altı ay içinde** tez önerisini tez izleme komitesi önünde sözlü olarak savunur."
"- Tez izleme komitesi, öğrencinin tez önerisini ne zaman değerlendirir?","Metne göre, doktora yeterlik sınavını başarı ile tamamlayan bir öğrencinin tez önerisi, tez izleme komitesi tarafından en geç **altı ay içinde** değerlendirilir. 

Öğrencinin tez önerisini sözlü olarak savunması ve bununla birlikte komite üyelerine yazılı bir rapor sunması gerekir. Komite bu sunumu değerlendirerek önerinin kabul, düzeltme veya reddedileceğine karar verir."
"- Doktora tez jürisi, danışman ve enstitü anabilim/anasanat dalı başkanlığının önerisiyle nasıl atanır?","Doktora tez jürisi, danışman ve enstitü anabilim/anasanat dalı başkanlığının önerisiyle **enstitü yönetim kurulu tarafından atanır.** 

Bu süreç şu şekilde işler:

1. **Danışman ve Anabilim Dalı Başkanı Öneri Sunar:** Doktora öğrencisinin danışmanı ve öğrencinin bağlı olduğu anabilim dalı başkanı, tez savunması için bir jüri önerirler. 
2. **Yönetim Kurulu Onay Verir:** Önerilen jüri üyeleri, enstitü yönetim kuruluna sunulur. Yönetim kurulu, jüri üyelerini uygun bulursa atanmasını onaylar. 

Jüri üyeleri arasında, danışmanın yanı sıra, öğrencinin tez izleme komitesinden üç üye ve en az iki üye de kendi yükseköğretim kurumu dışından olmak üzere toplam beş öğretim üyesi yer alır. Danışmanın oy hakkı olup olmadığına da yönetim kurulu karar verir."
- Doktora tez savunma sınavı nelerden oluşur?,"Doktora tez savunma sınavı, Türk eğitim sistemi içerisinde, öğrencinin araştırmasının sonucunda hazırladığı tezin, belirlenmiş bir jüri önünde savunulduğu bir sınavdır. Bu sınav iki temel bölümden oluşur:

**1. Tez Çalışmasının Sunumu:** Öğrenci, tezinde yaptığı araştırmayı, elde ettiği sonuçları, kullandığı yöntemleri ve bulguların önemini jüriye detaylı bir şekilde sunar. Bu sunum, öğrencinin araştırma konusunu ne kadar iyi anladığını, araştırmayı nasıl yürüttüğünü ve sonuçları nasıl yorumladığını gösterir.

**2. Soru-Cevap Bölümü:** Öğrenci tezini sunduktan sonra, jüri üyeleri araştırmayla ilgili sorular sorar. Öğrencinin bu sorulara verdiği cevaplar, jürinin araştırmanın derinliğine, öğrencinin konuya hakimiyetine ve eleştirel düşünme yeteneğine ilişkin bilgi edinmesini sağlar.

Tez savunma sınavının amacı, öğrencinin araştırma konusuna ve yöntemine ilişkin bilgi ve becerilerini değerlendirmek, tezde yer alan özgün bulguları ve tezdeki argümanları tartışmak ve öğrencinin araştırma alanındaki yetkinliğini ölçmektir."
"- Doktora tez jürisi, tez hakkında hangi kararları verebilir?","Doktora tez jürisi, Türk eğitim sistemi çerçevesinde, tez hakkında aşağıdaki kararları verebilir:

* **Tezi Kabul:** Jüri, tezin bilimsel standartlara uygun olduğunu ve özgün bir çalışma olduğunu tespit ederse tezi kabul eder. Bu durumda öğrenci doktora derecesi almaya hak kazanır.
* **Tezi Reddet:** Jüri, tezin bilimsel standartları karşılamadığını, özgün olmadığını veya yetersiz olduğunu tespit ederse tezi reddeder. Bu durumda öğrenci doktora programından mezun olamaz.
* **Düzeltme:** Jüri, tezin bazı eksiklikleri veya hataları olduğunu ancak temelde kabul edilebilir olduğunu tespit ederse tezi düzeltmeye tabi tutar. Bu durumda öğrenci, jüri tarafından belirlenen eksiklikleri ve hataları gidermek üzere tezine gerekli düzeltmeleri yapar ve tezi yeniden savunur. 

Tez jürisinin verdiği kararlar, enstitü anabilim/anasanat dalı başkanlığı tarafından enstitüye tutanakla bildirilir. 

Özetle, doktora tez jürisi, tezin bilimsel niteliğine ve özgünlüğüne göre, öğrencinin doktora programından mezun olma hakkını belirler."
